CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Credit_Limit,Date_Leave,Months_Inactive,Contacts_Count,Total_Revolving_Bal,Total_Trans_Ct,Avg_Open_To_Buy,Avg_Utilization_Ratio,Trans_Amount,Revenue,Country,Province,City,Date,Year,Quarter,Month,Transaction_Category,Transaction_Subcategory
712672083,Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,36,3,1438.3,"none,2018",4,4,1633,93,691.3,0.4795,3562.3152,100.959826,Cambodia,Sihanoukville,Preah Sihanouk,,,,,Retail,Bookstore
770721858,Existing Customer,65,M,1,Graduate,Married,$40K - $60K,Blue,56,3,3539,"none,2018",2,10,3138,110,1022,0.4455,6037,173.66233,Cambodia,Siem Reap,Battambang,,,,,Utility,Gas Bill
780689733,Existing Customer,65,M,0,College,Single,$40K - $60K,Silver,68,3,11332,"none,2019",5,4,1542,139,10699,0.068,9666,271.975751,Indonesia,Jawa Barat,Cimahi,,,,,Bank,ATM Withdrawal
778357458,Existing Customer,65,F,3,Graduate,Married,Less than $40K,Blue,24,4,2003,"none,2018",6,6,2364,144,779,0.5905,3280.3856,91.356332,Philippines,Calabarzon,Quezon City,,,,,Bank,Online Transfer
778247358,Existing Customer,65,M,1,Graduate,Single,$40K - $60K,Silver,68,5,7636,"none,2019",6,4,502,146,7636,0.035,6214,176.25332,Philippines,Calabarzon,Santa Rosa,,,,,Bank,Deposit
772539558,Existing Customer,65,F,0,College,Single,$40K - $60K,Blue,67,3,2022,"none,2019",9,0,316,152,2022,0.08,4685,133.273122,Myanmar,Naypyidaw,Tatkon Township,,,,,Bank,Deposit
772277508,Existing Customer,65,F,1,High School,Single,$40K - $60K,Blue,66,4,2209,"none,2019",7,4,555,104,2209,0.125,3915,111.140388,Cambodia,Sihanoukville,Kampong Chhnang,,,,,Utility,Internet Bill
771942333,Existing Customer,65,M,1,College,Single,$40K - $60K,Silver,54,5,5363,"none,2018",8,4,1553,170,4054,0.147,4693,129.952524,Cambodia,Siem Reap,Angkor Thom,,,,,Bank,Credit Card Payment
771234558,Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Silver,56,6,7478,"none,2018",7,4,478,139,7478,0.03,5523,154.38297,Philippines,Calabarzon,Quezon City,,,,,Bank,Credit Card Payment
787348608,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,68,3,3252,"none,2019",3,6,2636,107,1757,0.405,6384,183.765246,Cambodia,Phnom Penh,Mean Chey,,,,,Bank,ATM Withdrawal
767114958,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,68,4,3226,"none,2019",4,4,3571,148,1153,0.5515,5914,171.035008,Myanmar,Naypyidaw,Zabuthiri Township,,,,,Utility,Electricity Bill
721258158,Existing Customer,65,F,1,College,Single,$40K - $60K,Silver,63,3,11037,"none,2019",6,10,2063,92,9546,0.0925,11914,334.911895,Cambodia,Sihanoukville,Kampong Kdei,,,,,Bank,ATM Withdrawal
720863133,Existing Customer,65,M,1,Graduate,Married,$40K - $60K,Blue,66,5,3213,"none,2019",8,8,2990,88,696,0.4665,6776,190.135428,Vietnam,Hanoi,Đống Đa,,,,,Utility,Water Bill
720770883,Existing Customer,65,F,0,Graduate,Single,Less than $40K,Blue,56,5,1438.3,"none,2018",7,6,661,109,1438.3,0.165,3128,88.165899,Laos,Vientiane,Sisattanak,,,,,Retail,Bookstore
720769533,Existing Customer,65,M,0,Graduate,Single,Less than $40K,Blue,36,4,1438.3,"none,2018",5,2,1295,134,756.3,0.392,3861,109.587378,Malaysia,Selangor,Petaling Jaya,,,,,Bank,ATM Withdrawal
720695583,Existing Customer,65,M,1,College,Single,$40K - $60K,Silver,65,6,10775,"none,2019",5,6,2341,179,8988,0.108,14061,394.26797,Thailand,Bangkok,Pathum Wan,,,,,Retail,Electronics Store
720484908,Existing Customer,65,F,1,High School,Married,$40K - $60K,Blue,64,5,2155,"none,2019",5,6,1345,148,2155,0.31,3224.6048,91.607024,Brunei,Brunei-Muara,Seria,,,,,Utility,Gas Bill
780984408,Existing Customer,65,F,0,College,Divorced,$40K - $60K,Silver,50,3,7487,"none,2018",5,6,3155,183,5534,0.2105,5227,149.21016,Brunei,Brunei-Muara,Tutong,,,,,Utility,Electricity Bill
720430083,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,36,3,2107,"none,2018",9,4,2182,189,1099,0.519,4842,137.180217,Singapore,East Region,Tampines,,,,,Retail,Sporting Goods
805546308,Existing Customer,65,F,0,High School,Single,$40K - $60K,Silver,56,3,5951,"none,2018",5,4,3240,118,3434,0.2715,14945,429.093128,Myanmar,Mandalay,Aungmyethazan,,,,,Utility,Internet Bill
900201956,Existing Customer,65,M,1,High School,Married,Less than $40K,Blue,56,3,1759,"none,2019",6,1,1186,38,1759,0.67,1049,28.426851,Laos,Pakse,Savannakhet,,,,,Bank,Credit Card Payment
816013383,Attrited Customer,65,F,0,Graduate,Divorced,$40K - $60K,Silver,56,3,6184,"Q4,2018",6,3,0,27,6184,0,13300,379.05,Singapore,Central Region,Woodlands,11/25/2018,2018,4,November,Bank,Online Transfer
811527933,Attrited Customer,65,F,0,College,Single,$40K - $60K,Silver,56,3,10885,"Q4,2018",4,3,1758,39,9127,0.162,15005,427.6425,Malaysia,Kedah,Jitra,10/18/2018,2018,4,October,Retail,Electronics Store
780105483,Attrited Customer,65,F,0,Uneducated,Single,Less than $40K,Blue,50,3,1697,"Q4,2018",4,4,377,49,1320,0.222,2532,70.1364,Vietnam,Da Nang,Hải Châu,11/26/2018,2018,4,November,Retail,Electronics Store
778663458,Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47,3,1759,"Q3,2018",2,1,0,18,1759,0,3796,108.186,Vietnam,Da Nang,Hải Châu,9/2/2018,2018,3,September,Bank,Credit Card Payment
719325783,Attrited Customer,65,M,2,Graduate,Single,Less than $40K,Blue,36,4,2954,"Q1,2018",2,3,2517,28,437,0.852,5218,148.713,Laos,Vientiane,Xaysetha,1/13/2018,2018,1,January,Bank,Credit Card Payment
716924958,Attrited Customer,65,F,2,Graduate,Single,$40K - $60K,Silver,56,3,6812,"Q1,2018",0,3,1926,48,4886,0.283,2492,71.022,Philippines,Central Luzon,Cabanatuan,2/17/2018,2018,1,February,Utility,Electricity Bill
